DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO_POBLADO,LATITUD,LONGITUD
LIMA,LIMA,ANCON,ANCON,-11.77349821,-77.17526749
LIMA,LIMA,ATE,VITARTE,-12.02585569,-76.91856708
LIMA,LIMA,BARRANCO,BARRANCO,-12.14958497,-77.02109863
LIMA,LIMA,BREÑA,BREÑA,-12.05689815,-77.05188471
LIMA,LIMA,CARABAYLLO,CARABAYLLO,-11.88916521,-77.02734486
LIMA,LIMA,CARABAYLLO,HUATOCAY,-11.7572432,-76.98536519
LIMA,LIMA,CARABAYLLO,TRES UNIDOS,-11.75690759,-76.97780793
LIMA,LIMA,CARABAYLLO,CHOCAS BAJO,-11.76651,-76.97719
LIMA,LIMA,CARABAYLLO,CASINELLI,-11.78695,-76.98305
LIMA,LIMA,CARABAYLLO,CABALLERO,-11.79406,-76.98212
LIMA,LIMA,CARABAYLLO,HUARANGAL,-11.79515919,-77.00110799
LIMA,LIMA,CARABAYLLO,FRAY MARTIN,-11.80833,-76.98772
LIMA,LIMA,CARABAYLLO,SANTA ROSA DE PUQUIO,-11.81467,-76.99797
LIMA,LIMA,CARABAYLLO,CUCHICORRAL,-11.82975,-77.01294
LIMA,LIMA,CARABAYLLO,SANTIAGO DE PUNCHAUCA,-11.83219,-77.00001
LIMA,LIMA,CARABAYLLO,LA CRUZ (11 AMIGOS),-11.839987,-76.99748
LIMA,LIMA,CARABAYLLO,JICAMARCA,-11.84437,-76.99903
LIMA,LIMA,CARABAYLLO,FUNDO TORRE BLANCA (BLANCA),-11.85133,-76.99686
LIMA,LIMA,CARABAYLLO,PEDREGAL,-11.84804,-77.00292
LIMA,LIMA,CARABAYLLO,NICOLINI,-11.8534,-77.00088
LIMA,LIMA,CARABAYLLO,CERRO CAÑON,-11.84702,-77.02414
LIMA,LIMA,CARABAYLLO,CABAÑA SUCHE,-11.839158,-77.04534
LIMA,LIMA,CARABAYLLO,PUEBLO VIEJO,-11.83292,-77.04206
LIMA,LIMA,CARABAYLLO,EL PACIFICO,-11.83949,-77.07507
LIMA,LIMA,CARABAYLLO,JOSE CARLOS MARIATEGUI,-11.84478,-77.07514
LIMA,LIMA,CARABAYLLO,PASCAL,-11.85011,-77.05023
LIMA,LIMA,CARABAYLLO,LA ESPERANZA,-11.86932,-77.04729
LIMA,LIMA,CARABAYLLO,FUNDO PANCHA PAULA,-11.874,-77.05542
LIMA,LIMA,CARABAYLLO,GRANJA FINA,-11.8665,-77.05051
LIMA,LIMA,CARABAYLLO,OLFA,-11.76311476,-76.98635557
LIMA,LIMA,CARABAYLLO,RIO SECO,-11.78639,-76.96133
LIMA,LIMA,CARABAYLLO,PARAISO,-11.78655,-76.97257
LIMA,LIMA,CARABAYLLO,EL ROSARIO,-11.8036,-76.98462
LIMA,LIMA,CARABAYLLO,CERRO PUQUIO,-11.81334,-76.98699
LIMA,LIMA,CARABAYLLO,LA CAMPANA,-11.8287,-76.99193
LIMA,LIMA,CARABAYLLO,LAS ANIMAS,-11.8583,-77.05194
LIMA,LIMA,CARABAYLLO,VETANCIO,-11.86066,-77.05806
LIMA,LIMA,CARABAYLLO,ROMA ALTA,-11.87064,-77.04096
LIMA,LIMA,CARABAYLLO,HUACOY,-11.85773,-77.00693
LIMA,LIMA,CARABAYLLO,FUNDO PAMPA LIBRE,-11.83715,-77.02334
LIMA,LIMA,CARABAYLLO,EX FUNDO SANTA INES,-11.86248,-77.05603
LIMA,LIMA,CARABAYLLO,REPOSO,-11.8556,-77.05409
LIMA,LIMA,CARABAYLLO,CARMELITO,-11.82187,-76.99123
LIMA,LIMA,CARABAYLLO,SANTA ELENA,-11.8227,-76.99595
LIMA,LIMA,CARABAYLLO,DON LUIS,-11.82621,-76.98685
LIMA,LIMA,CARABAYLLO,SANTA INES PARCELA,-11.86541,-77.04787
LIMA,LIMA,CARABAYLLO,ASOCIACION SANTA INES,-11.86867,-77.05006
LIMA,LIMA,CARABAYLLO,ROMA BAJA,-11.86978,-77.05131
LIMA,LIMA,CARABAYLLO,RESIDENCIAL SANTA LUCIA,-11.87641,-77.05399
LIMA,LIMA,CARABAYLLO,SIPAN PERU,-11.8148,-76.98352
LIMA,LIMA,CARABAYLLO,FUNDO CUADROS,-11.83357,-77.06495
LIMA,LIMA,CARABAYLLO,BELLO HORIZONTE,-11.83485,-77.05482
LIMA,LIMA,CARABAYLLO,EL HUECO,-11.83611,-77.06969
LIMA,LIMA,CARABAYLLO,EX FUNDO MARIATEGUI,-11.83983,-77.06954
LIMA,LIMA,CARABAYLLO,NARANJITO,-11.83875189,-77.05697004
LIMA,LIMA,CARABAYLLO,VISTA HERMOSA,-11.84782,-77.07214
LIMA,LIMA,CARABAYLLO,EL SABROSO DE JOSE CARLOS MARIATEGUI,-11.84609,-77.07424
LIMA,LIMA,CARABAYLLO,GRANJA CARABAYLLO,-11.84771,-77.06707
LIMA,LIMA,CARABAYLLO,AGROPECUARIO VALLE EL CHILLON,-11.86572,-77.05744
LIMA,LIMA,CARABAYLLO,CAMINO REAL,-11.858199,-77.0326
LIMA,LIMA,CARABAYLLO,COPACABANA,-11.84767,-77.0767
LIMA,LIMA,CARABAYLLO,EL TREBOL,-11.83202,-77.05437
LIMA,LIMA,CARABAYLLO,TABLADA LA VIRGEN,-11.83247,-77.02408
LIMA,LIMA,CARABAYLLO,SAN FERNANDO DE CARABAYLLO,-11.85114,-77.02377
LIMA,LIMA,CARABAYLLO,SAN FERNANDO DE COPACABANA,-11.83436,-77.05929
LIMA,LIMA,CARABAYLLO,LA MANZANA,-11.843863,-77.05968
LIMA,LIMA,CARABAYLLO,CHACRA GRANDE,-11.850736,-77.05845
LIMA,LIMA,CARABAYLLO,TORRES DE COPACABANA,-11.83819,-77.07955
LIMA,LIMA,CARABAYLLO,SAN PEDRO DE CARABAYLLO,-11.85253,-77.06247
